,business_id,positive words,negative words
330,wHxe_D6_MPhMLNuHVLMIqQ,"service,asada,burrito,breakfast,taco","time,fries"
331,Ufa7MJ3yDDIMFkYctnhT8Q,,"chipotle,rice"
332,G-uuABMCbX0MYf0gQDVfKg,,"manager,staff,service,salsa,table"
333,p4YvOzp42g3JzlXJny8F0g,guacamole,"staff,service,time,rice,dinner,taco,chile"
334,Lvn3RqiiAUYrWIy6FC-5Ow,beef,"staff,service,time,dinner,taco,margarita,atmosphere"
335,_BaA052qAWqhKbCQ4s-_8A,,waiter
336,PrwXfYk-EZpiw5aehyBzzg,"breakfast,burrito","service,fries,time,asada,steak"
337,5KgZD0CDNpUjbdV7OjUuXA,"guacamole,service,wait,patio","chicken,time"
338,jWHr_b19C1SjRvfI9jbdmQ,"staff,meat,lunch,steak,chicken,taco","guacamole,asada,service"
339,UGiMMw54qYxac0eE_cBbaA,"pork,drink,burrito,breakfast,chicken","time,dinner,service"
340,NhGkSF9UB3hiDKUY9roHBg,"fish,asada,burrito,fries","breakfast,salsa,bacon"
341,11y02mqvQyJf0R8LImw3xA,,shrimp
342,pNpq-Y5SVa-jDMmzp2VsEw,,"time,staff,service,waiter"
